,Entity,Code,Year,Cumulative CO2 emissions
11738,Jordan,JOR,1950,172208.0
11739,Jordan,JOR,1951,333424.0
11740,Jordan,JOR,1952,527616.0
11741,Jordan,JOR,1953,740128.0
11742,Jordan,JOR,1954,992677.0
11743,Jordan,JOR,1955,1373376.0
11744,Jordan,JOR,1956,1823721.0
11745,Jordan,JOR,1957,2317915.0
11746,Jordan,JOR,1958,2841421.0
11747,Jordan,JOR,1959,3496831.0
11748,Jordan,JOR,1960,4239969.0
11749,Jordan,JOR,1961,5217366.0
11750,Jordan,JOR,1962,6264319.0
11751,Jordan,JOR,1963,7483272.0
11752,Jordan,JOR,1964,8724120.0
11753,Jordan,JOR,1965,10144534.0
11754,Jordan,JOR,1966,11725866.0
11755,Jordan,JOR,1967,13138863.0
11756,Jordan,JOR,1968,14642835.0
11757,Jordan,JOR,1969,16399623.0
11758,Jordan,JOR,1970,17955307.0
11759,Jordan,JOR,1971,19609741.0
11760,Jordan,JOR,1972,21523339.0
11761,Jordan,JOR,1973,23722907.0
11762,Jordan,JOR,1974,25948212.0
11763,Jordan,JOR,1975,28437414.0
11764,Jordan,JOR,1976,31382010.0
11765,Jordan,JOR,1977,34535943.0
11766,Jordan,JOR,1978,38163290.0
11767,Jordan,JOR,1979,41940174.0
11768,Jordan,JOR,1980,46635989.0
11769,Jordan,JOR,1981,52461172.0
11770,Jordan,JOR,1982,58716859.0
11771,Jordan,JOR,1983,66016805.0
11772,Jordan,JOR,1984,74263677.0
11773,Jordan,JOR,1985,82685190.0
11774,Jordan,JOR,1986,91850242.0
11775,Jordan,JOR,1987,101356261.0
11776,Jordan,JOR,1988,110533273.0
11777,Jordan,JOR,1989,119613027.0
11778,Jordan,JOR,1990,130089450.0
11779,Jordan,JOR,1991,139993361.0
11780,Jordan,JOR,1992,151977560.0
11781,Jordan,JOR,1993,163751846.0
11782,Jordan,JOR,1994,177001413.0
11783,Jordan,JOR,1995,190209476.0
11784,Jordan,JOR,1996,204034894.0
11785,Jordan,JOR,1997,218108951.0
11786,Jordan,JOR,1998,232362018.0
11787,Jordan,JOR,1999,246628683.0
11788,Jordan,JOR,2000,261828887.0
11789,Jordan,JOR,2001,277438404.0
11790,Jordan,JOR,2002,293858841.0
11791,Jordan,JOR,2003,310841017.0
11792,Jordan,JOR,2004,329511712.0
11793,Jordan,JOR,2005,349948505.0
11794,Jordan,JOR,2006,370474895.0
11795,Jordan,JOR,2007,391911393.0
11796,Jordan,JOR,2008,412629390.0
11797,Jordan,JOR,2009,433966082.0
11798,Jordan,JOR,2010,454581407.0
11799,Jordan,JOR,2011,475825167.0
11800,Jordan,JOR,2012,499638968.0
11801,Jordan,JOR,2013,523452120.0
11802,Jordan,JOR,2014,549347142.0
11803,Jordan,JOR,2015,574903362.0
11804,Jordan,JOR,2016,599248984.0
11805,Jordan,JOR,2017,624810262.0
11806,Jordan,JOR,2018,650069892.0
11807,Jordan,JOR,2019,675814875.0
11808,Jordan,JOR,2020,701302305.0
