Entity,Code,Year,Telephone Subscriptions
Jordan,JOR,1960,1.2438082695007324
Jordan,JOR,1961,1.2438100576400757
Jordan,JOR,1962,1.2438100576400757
Jordan,JOR,1963,1.2438100576400757
Jordan,JOR,1964,1.2438100576400757
Jordan,JOR,1966,1.2438100576400757
Jordan,JOR,1967,1.2438100576400757
Jordan,JOR,1968,1.2438100576400757
Jordan,JOR,1969,1.2438100576400757
Jordan,JOR,1970,1.0457072257995603
Jordan,JOR,1971,1.0457099676132202
Jordan,JOR,1972,1.0457099676132202
Jordan,JOR,1973,1.0457099676132202
Jordan,JOR,1974,1.0457099676132202
Jordan,JOR,1977,1.8818342685699463
Jordan,JOR,1978,1.9887906312942505
Jordan,JOR,1979,2.273262023925781
Jordan,JOR,1980,2.5455477237701416
Jordan,JOR,1981,2.906485319137573
Jordan,JOR,1982,3.357630491256714
Jordan,JOR,1983,3.743337392807007
Jordan,JOR,1984,4.082151412963867
Jordan,JOR,1985,5.098982810974121
Jordan,JOR,1986,5.174412250518799
Jordan,JOR,1987,6.483787536621094
Jordan,JOR,1988,6.844895839691162
Jordan,JOR,1989,7.009969711303711
Jordan,JOR,1990,6.892584800720215
Jordan,JOR,1991,7.052553653717041
Jordan,JOR,1992,6.995675086975098
Jordan,JOR,1993,6.904253482818604
Jordan,JOR,1994,7.1783952713012695
Jordan,JOR,1995,6.908211708068848
Jordan,JOR,1996,7.300605297088623
Jordan,JOR,1997,8.339271545410156
Jordan,JOR,1998,10.333284378051758
Jordan,JOR,1999,11.23409652709961
Jordan,JOR,2000,12.10348129272461
Jordan,JOR,2001,12.650134086608888
Jordan,JOR,2002,12.684724807739258
Jordan,JOR,2003,11.456911087036133
Jordan,JOR,2004,11.429804801940918
Jordan,JOR,2005,10.892122268676758
Jordan,JOR,2006,10.247782707214355
Jordan,JOR,2007,8.936450958251953
Jordan,JOR,2008,7.915682792663574
Jordan,JOR,2009,7.271421432495117
Jordan,JOR,2010,6.686309814453125
Jordan,JOR,2011,6.073304653167725
Jordan,JOR,2012,5.37007474899292
Jordan,JOR,2013,4.441973686218262
Jordan,JOR,2014,4.210003852844238
Jordan,JOR,2015,3.981384754180908
Jordan,JOR,2016,4.229640960693359
Jordan,JOR,2017,3.650201559066773
Jordan,JOR,2018,3.7042973041534415
Jordan,JOR,2019,3.519577980041504
Jordan,JOR,2020,3.836919069290161
